# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             207   N   00000526   00f82023   00000528   ---        --------
             209   N   00000528   00000885   0000052c   ---        --------
             210   N   0000052c   ff5ff06f   0000052e   x17_a7     00001710
             211   N   0000052e   08851717   00000522   ---        --------
             216   N   00000522   0000c791   00000526   x15_a5     0000006f
             217   N   00000526   00f82023   00000528   ---        --------
             219   N   00000528   00000885   0000052c   ---        --------
             220   N   0000052c   ff5ff06f   0000052e   x17_a7     00001711
             221   N   0000052e   08851717   00000522   ---        --------
             226   N   00000522   0000c791   00000526   x15_a5     0000006e
             227   N   00000526   00f82023   00000528   ---        --------
             229   N   00000528   00000885   0000052c   ---        --------
             230   N   0000052c   ff5ff06f   0000052e   x17_a7     00001712
             231   N   0000052e   08851717   00000522   ---        --------
             236   N   00000522   0000c791   00000526   x15_a5     00000020
             237   N   00000526   00f82023   00000528   ---        --------
             239   N   00000528   00000885   0000052c   ---        --------
             240   N   0000052c   ff5ff06f   0000052e   x17_a7     00001713
             241   N   0000052e   08851717   00000522   ---        --------
             246   N   00000522   0000c791   00000526   x15_a5     00000069
             247   N   00000526   00f82023   00000528   ---        --------
             249   N   00000528   00000885   0000052c   ---        --------
             250   N   0000052c   ff5ff06f   0000052e   x17_a7     00001714
             251   N   0000052e   08851717   00000522   ---        --------
             256   N   00000522   0000c791   00000526   x15_a5     00000073
             257   N   00000526   00f82023   00000528   ---        --------
             259   N   00000528   00000885   0000052c   ---        --------
             260   N   0000052c   ff5ff06f   0000052e   x17_a7     00001715
             261   N   0000052e   08851717   00000522   ---        --------
             266   N   00000522   0000c791   00000526   x15_a5     00000020
             267   N   00000526   00f82023   00000528   ---        --------
             269   N   00000528   00000885   0000052c   ---        --------
             270   N   0000052c   ff5ff06f   0000052e   x17_a7     00001716
             271   N   0000052e   08851717   00000522   ---        --------
             276   N   00000522   0000c791   00000526   x15_a5     00000044
             277   N   00000526   00f82023   00000528   ---        --------
             279   N   00000528   00000885   0000052c   ---        --------
             280   N   0000052c   ff5ff06f   0000052e   x17_a7     00001717
             281   N   0000052e   08851717   00000522   ---        --------
             286   N   00000522   0000c791   00000526   x15_a5     00000065
